psu_hh_idcode,hhid,q02,q03,q05,q09,q23
231_3_3,23103,1,4,21,0,2
231_4_2,23104,2,2,56,0,0
231_5_1,23105,1,1,42,0,0
231_5_2,23105,2,2,39,0,0
231_5_3,23105,2,4,4,0,2
231_6_1,23106,1,1,48,0,0
231_6_2,23106,2,2,44,0,0
231_6_3,23106,1,4,22,0,2
231_6_4,23106,1,4,19,0,2
231_7_1,23107,1,1,78,0,0
231_7_2,23107,2,2,65,0,0
231_8_1,23108,1,1,56,0,0
231_8_2,23108,2,2,55,0,0
231_8_3,23108,2,4,22,0,2
232_1_2,23201,2,2,58,0,0
232_1_3,23201,1,4,35,0,2
232_1_4,23201,1,4,17,0,2
232_2_1,23202,2,1,67,0,0
232_3_1,23203,2,1,69,0,0
232_4_1,23204,2,1,61,0,0
232_4_2,23204,1,4,24,0,1
232_5_2,23205,2,2,78,0,0
232_5_3,23205,2,9,41,0,0
232_5_4,23205,1,6,19,0,1
232_5_5,23205,1,6,16,0,1
232_5_6,23205,1,6,8,0,1
232_6_1,23206,1,1,42,0,0
232_6_3,23206,1,4,10,0,2
232_6_4,23206,1,4,2,0,2
232_8_1,23208,2,1,69,0,0
232_8_2,23208,1,4,32,0,1
232_8_3,23208,2,9,28,0,0
232_8_4,23208,2,6,6,0,2
232_8_5,23208,1,6,2,0,2
233_2_2,23302,2,2,69,2,0
233_3_2,23303,2,2,51,0,0
233_4_1,23304,1,1,76,0,0
233_4_2,23304,2,2,73,0,0
233_5_1,23305,1,1,47,0,0
233_5_2,23305,2,2,45,0,0
233_5_3,23305,1,4,13,0,2
233_5_4,23305,1,4,12,0,2
233_5_5,23305,1,4,8,0,2
233_6_1,23306,1,1,52,0,0
233_6_2,23306,2,2,48,0,0
233_6_3,23306,1,4,28,0,2
233_6_4,23306,1,4,25,0,2
233_10_1,23310,1,1,39,0,2
233_10_2,23310,2,2,39,0,0
233_10_3,23310,2,7,83,0,0
233_10_4,23310,1,7,92,0,0
233_10_5,23310,2,4,18,0,2
233_10_6,23310,2,4,15,0,2
233_10_7,23310,2,4,11,0,2
233_11_1,23311,1,1,55,0,0
233_11_2,23311,2,2,52,0,0
233_11_4,23311,2,4,22,0,2
233_11_5,23311,2,4,15,0,2
233_11_6,23311,1,4,12,0,2
233_12_2,23312,2,2,60,0,0
233_12_4,23312,2,9,31,0,0
233_12_5,23312,1,6,4,0,2
234_1_1,23401,1,1,54,0,0
234_1_2,23401,2,2,53,0,0
234_1_4,23401,2,4,18,0,2
234_1_5,23401,1,4,14,0,2
234_1_6,23401,1,8,59,0,0
234_2_1,23402,1,1,46,0,0
234_2_4,23402,1,4,14,0,2
234_3_1,23403,1,1,61,0,0
234_3_2,23403,2,2,59,0,0
234_4_1,23404,1,1,66,0,0
234_4_2,23404,2,2,58,0,0
234_4_3,23404,1,4,35,0,2
234_4_4,23404,2,9,29,0,0
234_4_5,23404,1,4,28,0,2
234_4_6,23404,1,4,21,0,2
234_4_7,23404,2,5,11,0,2
234_4_8,23404,1,5,9,0,2
234_4_9,23404,1,5,1,0,2
234_4_10,23404,1,5,1,0,2
234_4_11,23404,2,9,20,0,0
234_4_12,23404,2,5,4,0,2
234_8_1,23408,1,1,59,0,0
234_8_2,23408,2,2,48,0,0
234_8_3,23408,1,4,26,0,2
234_8_4,23408,1,4,24,0,2
234_8_5,23408,2,4,19,0,2
234_9_2,23409,2,1,44,0,0
234_9_3,23409,1,4,20,0,2
234_10_1,23410,1,1,45,0,0
234_10_2,23410,2,2,41,0,0
234_10_3,23410,1,4,18,0,2
234_10_4,23410,2,4,14,0,2
234_12_1,23412,1,1,42,0,1
234_12_2,23412,2,2,38,0,0
234_12_3,23412,2,4,20,0,2
234_12_4,23412,2,4,12,0,2
234_12_5,23412,2,4,8,0,2
234_12_6,23412,2,7,85,0,0
235_1_1,23501,1,1,43,0,0
235_1_2,23501,2,2,41,0,0
235_1_3,23501,2,4,13,0,2
235_1_4,23501,1,4,11,0,2
235_1_5,23501,2,4,7,0,2
235_2_1,23502,1,1,47,0,1
235_2_2,23502,2,2,46,0,0
235_2_3,23502,2,7,71,0,0
235_2_5,23502,2,4,16,0,2
235_3_1,23503,1,1,47,0,1
235_3_2,23503,2,7,75,0,0
235_3_3,23503,2,2,31,0,0
235_3_4,23503,1,4,2,0,2
235_3_5,23503,1,4,0,0,2
235_3_6,23503,1,4,0,0,2
235_4_1,23504,1,1,62,0,0
235_4_2,23504,2,2,59,0,0
235_5_1,23505,1,1,58,0,0
235_5_2,23505,2,2,55,0,0
235_5_3,23505,1,4,33,0,2
235_5_4,23505,2,9,29,0,0
235_5_5,23505,2,6,7,0,2
235_6_1,23506,2,1,54,0,0
235_6_2,23506,1,4,29,0,1
235_6_3,23506,2,4,27,0,1
235_6_4,23506,2,9,22,0,0
235_7_1,23507,1,1,38,0,0
235_7_2,23507,2,2,32,0,0
235_8_1,23508,1,1,40,0,0
235_8_2,23508,2,2,32,0,0
235_8_3,23508,2,4,8,0,2
236_1_1,23601,2,1,49,0,0
236_1_3,23601,2,4,16,0,1
236_2_1,23602,1,1,42,0,0
236_2_2,23602,2,2,39,0,0
236_2_3,23602,2,4,14,0,2
236_2_4,23602,2,4,12,0,2
236_3_1,23603,1,1,48,0,0
236_3_2,23603,2,2,45,0,0
236_4_1,23604,1,1,61,0,0
236_4_2,23604,2,2,58,0,0
236_5_1,23605,1,1,64,0,0
236_5_2,23605,2,2,62,0,0
236_7_1,23607,1,1,33,0,0
236_7_2,23607,2,2,27,0,0
236_7_3,23607,2,4,1,0,2
236_8_1,23608,1,1,59,0,0
236_8_2,23608,2,2,58,0,0
236_9_2,23609,2,2,40,0,0
236_9_4,23609,1,4,15,0,2
236_9_5,23609,2,4,4,0,2
237_1_1,23701,1,1,48,0,1
237_1_2,23701,2,2,38,0,0
237_1_3,23701,2,4,10,0,2
237_1_4,23701,1,4,9,0,2
237_1_5,23701,2,4,6,0,2
237_1_6,23701,2,7,71,0,0
237_2_1,23702,1,1,52,0,0
237_2_2,23702,2,2,51,0,0
237_2_3,23702,2,4,21,0,2
237_2_4,23702,2,4,19,0,2
237_2_5,23702,1,4,12,0,2
237_3_1,23703,1,1,23,0,0
237_3_2,23703,2,2,21,0,0
237_3_3,23703,2,4,0,0,2
237_4_1,23704,1,1,46,0,0
237_4_2,23704,2,2,46,0,0
237_4_3,23704,2,4,21,0,2
237_4_4,23704,1,4,18,0,2
237_5_1,23705,1,1,48,0,0
237_5_2,23705,2,2,46,0,0
237_5_3,23705,1,4,21,0,2
237_5_4,23705,1,4,17,0,2
237_5_5,23705,2,4,9,0,2
237_6_1,23706,2,1,69,0,0
237_6_2,23706,1,4,36,0,1
237_6_3,23706,2,9,29,0,0
237_6_4,23706,1,5,7,0,2
237_6_5,23706,2,5,4,0,2
237_6_6,23706,1,4,28,0,1
237_7_1,23707,1,1,49,0,0
237_7_2,23707,2,2,50,0,0
237_7_4,23707,2,4,23,0,2
237_8_2,23708,2,2,39,0,0
237_8_3,23708,1,4,16,0,2
237_8_4,23708,2,4,12,0,2
238_1_1,23801,1,1,55,0,0
238_1_2,23801,2,2,49,0,0
238_1_4,23801,2,4,21,0,2
238_2_1,23802,1,1,61,0,0
238_2_2,23802,2,2,52,0,0
238_2_3,23802,2,4,28,0,2
238_2_4,23802,2,4,25,0,2
238_2_5,23802,1,4,19,0,2
238_3_1,23803,1,1,46,0,0
238_3_2,23803,2,2,53,0,0
238_3_3,23803,1,4,33,0,2
238_3_4,23803,1,4,31,0,2
238_3_5,23803,2,9,25,0,0
238_3_6,23803,1,5,2,0,2
238_4_1,23804,1,1,82,0,0
238_4_3,23804,2,4,32,0,2
238_5_1,23805,1,1,59,0,0
238_5_2,23805,2,2,50,0,0
238_7_1,23807,1,1,58,0,0
238_7_2,23807,2,2,60,0,0
238_7_3,23807,2,4,23,0,2
238_8_1,23808,1,1,34,0,0
238_8_2,23808,2,2,30,0,0
238_8_3,23808,1,4,3,0,2
239_1_1,23901,1,1,46,0,0
239_1_2,23901,2,2,43,0,0
239_1_3,23901,1,4,21,0,2
239_1_4,23901,2,4,19,0,2
239_1_5,23901,2,4,10,0,2
239_2_1,23902,1,1,48,0,0
239_2_2,23902,2,2,39,0,0
239_2_3,23902,1,4,16,0,2
239_2_4,23902,2,4,8,0,2
239_4_1,23904,1,1,54,0,0
239_4_3,23904,2,4,28,0,2
239_4_4,23904,2,4,21,0,2
239_4_5,23904,2,4,17,0,2
239_4_6,23904,1,4,12,0,2
239_5_1,23905,1,1,76,0,0
239_5_2,23905,2,2,72,0,0
239_5_3,23905,1,4,47,0,2
239_5_4,23905,1,4,45,0,2
239_5_5,23905,1,4,41,0,2
239_5_6,23905,1,4,38,0,2
239_6_2,23906,2,2,47,0,0
239_6_3,23906,2,4,24,0,2
239_6_4,23906,1,4,22,0,2
239_6_5,23906,1,4,15,0,2
239_7_1,23907,1,1,55,0,0
239_7_2,23907,2,2,55,0,0
239_7_3,23907,1,4,24,0,2
239_7_4,23907,1,4,20,0,2
239_8_1,23908,1,1,63,0,0
239_8_2,23908,2,2,52,0,0
239_9_1,23909,1,1,58,0,0
239_9_2,23909,2,2,53,0,0
239_9_3,23909,1,4,26,0,2
240_1_1,24001,1,1,49,0,0
240_1_2,24001,2,2,42,0,0
240_1_3,24001,1,4,22,0,2
240_1_4,24001,1,4,13,0,2
240_3_1,24003,1,1,30,1,2
240_3_2,24003,2,2,22,0,0
240_3_3,24003,1,4,0,0,2
240_3_4,24003,1,7,68,0,0
240_3_5,24003,2,7,60,0,0
240_3_6,24003,1,8,23,0,2
240_4_1,24004,1,1,63,0,0
240_4_2,24004,2,2,59,0,0
240_4_3,24004,2,4,21,0,2
240_5_1,24005,1,1,39,1,0
240_5_2,24005,2,2,37,0,0
240_5_3,24005,2,4,15,0,2
240_5_4,24005,1,4,11,0,2
240_5_5,24005,1,4,5,0,2
240_6_1,24006,1,1,52,0,0
240_6_2,24006,2,2,46,0,0
240_6_3,24006,1,4,22,0,2
240_6_4,24006,1,4,15,0,2
240_7_2,24007,1,4,34,0,1
240_10_1,24010,1,1,55,0,0
240_10_2,24010,2,2,41,0,0
240_10_3,24010,1,4,22,0,2
240_10_4,24010,2,4,18,0,2
240_10_5,24010,1,4,10,0,2
240_12_1,24012,1,1,54,0,2
240_12_2,24012,2,2,54,0,0
240_12_3,24012,1,4,21,0,2
240_12_4,24012,1,4,21,0,2
240_12_5,24012,1,7,97,0,0
240_12_6,24012,2,7,92,0,0
241_1_1,24101,1,1,78,0,0
241_2_1,24102,1,1,60,0,1
241_2_2,24102,2,2,53,0,0
241_2_3,24102,2,7,82,0,0
241_3_1,24103,1,1,47,0,0
241_3_2,24103,2,2,43,0,0
241_3_3,24103,2,4,18,0,2
241_3_4,24103,2,4,16,0,2
241_3_5,24103,1,4,10,0,2
241_4_1,24104,1,1,48,0,0
241_4_2,24104,2,2,42,0,0
241_4_3,24104,1,4,18,0,2
241_4_4,24104,2,4,12,0,2
241_5_1,24105,2,1,77,0,0
241_6_1,24106,1,1,58,0,0
241_6_2,24106,2,2,49,0,0
241_6_3,24106,1,4,27,0,2
241_6_4,24106,1,4,25,0,2
241_6_5,24106,1,4,11,0,2
241_7_1,24107,1,1,64,1,0
241_7_2,24107,2,2,54,0,0
241_7_3,24107,1,4,34,0,2
241_7_4,24107,2,9,23,0,0
241_7_5,24107,2,5,2,0,2
241_7_6,24107,1,4,25,0,2
241_8_1,24108,1,1,45,0,0
241_8_2,24108,2,2,38,0,0
241_8_3,24108,1,4,18,0,2
241_8_4,24108,1,4,15,0,2
241_8_5,24108,1,4,13,0,2
242_2_1,24202,1,1,44,0,0
242_2_2,24202,2,2,34,0,0
242_2_3,24202,2,4,9,0,2
242_2_4,24202,2,4,6,0,2
242_3_1,24203,1,1,44,0,0
242_3_2,24203,2,2,34,0,0
242_3_3,24203,1,4,15,0,2
242_3_4,24203,2,4,8,0,2
242_4_2,24204,2,2,52,0,0
242_4_3,24204,1,4,30,0,2
242_4_4,24204,2,9,28,0,0
242_4_5,24204,2,5,1,0,2
242_4_6,24204,2,7,86,0,0
242_5_1,24205,1,1,74,0,0
242_7_1,24207,1,1,85,0,0
242_7_2,24207,2,2,74,0,0
242_8_1,24208,2,1,84,0,0
242_8_2,24208,1,4,32,11,1
242_9_1,24209,1,1,58,0,0
242_9_2,24209,2,2,56,0,0
242_9_3,24209,1,4,29,0,2
242_9_4,24209,1,4,24,0,2
242_11_1,24211,1,1,57,0,0
242_11_2,24211,2,2,51,0,0
242_11_3,24211,1,4,27,0,2
242_11_4,24211,1,4,25,0,2
243_3_1,24303,1,1,52,0,0
243_3_2,24303,2,2,36,0,0
243_3_3,24303,1,4,16,0,2
243_4_1,24304,1,1,66,0,0
243_4_2,24304,2,2,61,0,0
243_5_1,24305,1,1,55,0,0
243_5_2,24305,2,2,45,0,0
243_5_3,24305,1,4,22,0,2
243_5_4,24305,1,4,17,0,2
243_6_1,24306,1,1,62,0,0
243_7_1,24307,2,1,85,0,0
243_7_2,24307,1,9,71,0,0
243_7_3,24307,2,4,64,1,1
243_9_1,24309,2,1,92,0,0
243_9_2,24309,2,4,74,0,1
243_11_1,24311,1,1,61,0,0
243_11_2,24311,2,2,50,0,0
243_11_3,24311,1,4,24,0,2
243_12_1,24312,1,1,65,0,0
243_12_2,24312,2,2,54,0,0
244_1_2,24401,2,2,55,0,0
244_1_3,24401,1,4,31,0,2
244_2_1,24402,1,1,55,0,0
244_2_2,24402,2,2,45,0,0
244_2_3,24402,2,4,25,0,2
244_2_4,24402,1,4,14,0,2
244_3_1,24403,1,1,53,0,0
244_3_2,24403,2,2,54,0,0
244_4_1,24404,1,1,44,0,0
244_4_2,24404,2,2,32,0,0
244_4_3,24404,2,4,13,0,2
244_4_4,24404,1,4,10,0,2
244_5_1,24405,1,1,49,0,0
244_5_2,24405,2,2,48,0,0
244_5_3,24405,1,4,17,0,2
244_6_1,24406,1,1,35,0,0
244_6_2,24406,2,2,28,0,0
244_7_1,24407,1,1,51,0,0
244_7_2,24407,2,2,51,0,0
245_1_1,24501,1,1,59,0,0
245_1_2,24501,2,2,54,0,0
245_5_1,24505,1,1,68,0,0
245_6_1,24506,1,1,70,0,0
245_6_2,24506,2,2,66,0,0
245_7_1,24507,1,1,59,0,0
245_7_2,24507,2,2,57,0,0
245_9_1,24509,1,1,70,0,0
245_9_2,24509,2,2,68,0,0
245_11_1,24511,1,1,48,0,1
245_11_2,24511,2,2,37,0,0
245_11_3,24511,1,4,16,0,2
245_11_4,24511,2,4,7,0,2
245_11_5,24511,2,7,70,0,0
245_12_2,24512,2,2,55,0,0
246_2_1,24602,1,1,52,0,0
246_2_2,24602,2,2,40,0,0
246_2_3,24602,2,4,15,0,2
246_2_4,24602,2,4,10,0,2
246_3_1,24603,1,1,58,0,0
246_3_2,24603,2,2,51,0,0
246_3_3,24603,2,4,32,0,2
246_3_4,24603,2,5,7,0,1
246_4_1,24604,1,1,32,0,0
246_4_2,24604,2,2,25,0,0
246_4_3,24604,1,4,9,0,2
246_4_4,24604,2,4,1,0,2
246_7_1,24607,1,1,55,0,0
246_7_2,24607,2,2,50,0,0
246_7_3,24607,1,4,25,0,2
246_8_1,24608,1,1,43,0,0
246_8_2,24608,2,2,38,0,0
246_8_3,24608,2,4,15,0,2
246_8_4,24608,2,4,13,0,2
246_8_5,24608,2,4,11,0,2
246_9_1,24609,1,1,48,0,0
246_9_2,24609,2,2,37,0,0
246_9_3,24609,1,4,14,0,2
246_9_4,24609,1,4,7,0,2
246_11_1,24611,1,1,27,0,0
246_11_2,24611,2,2,26,0,0
246_11_3,24611,2,4,1,0,2
247_2_1,24702,1,1,39,0,0
247_2_2,24702,2,2,29,0,0
247_2_3,24702,1,4,6,0,2
247_4_2,24704,2,2,57,0,0
247_4_3,24704,1,4,31,0,2
247_5_2,24705,2,2,42,0,0
247_5_3,24705,2,4,9,0,2
247_5_4,24705,1,4,6,0,2
247_8_2,24708,2,2,59,0,0
247_9_1,24709,1,1,56,0,0
247_9_2,24709,2,2,53,0,0
247_9_3,24709,1,4,29,0,2
247_9_4,24709,2,4,21,0,2
247_10_1,24710,1,1,59,0,0
247_10_2,24710,2,2,48,0,0
247_10_3,24710,1,4,28,0,2
247_10_4,24710,2,9,24,0,0
247_11_1,24711,1,1,55,0,1
247_11_2,24711,2,2,48,0,0
247_11_4,24711,1,4,21,0,2
247_11_5,24711,2,7,85,0,0
247_12_1,24712,1,1,45,0,0
247_12_2,24712,2,2,44,0,0
247_12_3,24712,2,4,17,0,2
247_12_4,24712,2,4,14,0,2
247_12_5,24712,2,4,9,0,2
248_1_2,24801,2,2,30,0,0
248_1_3,24801,1,4,0,0,2
248_3_2,24803,2,2,22,0,0
248_3_3,24803,2,4,1,0,2
248_5_1,24805,1,1,83,0,0
248_5_2,24805,2,2,74,0,0
248_5_3,24805,1,4,53,0,2
248_5_4,24805,2,5,11,0,1
248_7_1,24807,2,1,69,0,0
248_7_2,24807,1,4,44,0,1
248_7_3,24807,2,9,33,0,0
248_7_4,24807,1,5,0,0,2
248_8_1,24808,1,1,56,0,0
248_8_2,24808,2,2,52,0,0
248_9_1,24809,1,1,33,0,0
248_9_2,24809,2,2,26,0,0
248_9_3,24809,2,4,4,0,2
248_9_4,24809,1,4,3,0,2
248_10_2,24810,2,4,16,0,1
248_10_3,24810,1,4,14,0,1
248_12_2,24812,2,2,32,0,0
248_12_3,24812,1,4,9,0,2
248_12_4,24812,2,4,0,0,2
248_12_5,24812,2,7,80,0,0
249_1_1,24901,1,1,42,0,0
249_1_2,24901,2,2,34,0,0
249_1_3,24901,2,4,10,0,2
249_1_4,24901,2,4,5,0,2
249_4_2,24904,1,4,30,0,1
249_5_1,24905,1,1,62,0,0
249_5_2,24905,2,2,60,0,0
249_7_2,24907,2,2,30,0,0
249_7_3,24907,2,4,9,0,2
249_7_4,24907,1,4,3,0,2
249_8_1,24908,1,1,61,0,0
249_8_2,24908,2,2,59,0,0
249_9_1,24909,2,1,38,0,0
249_9_2,24909,2,4,17,0,1
249_9_3,24909,2,4,7,0,1
249_10_1,24910,1,1,44,0,0
249_10_2,24910,2,2,44,0,0
249_10_3,24910,2,4,15,0,2
249_10_4,24910,2,4,10,0,2
249_12_2,24912,2,2,30,0,0
249_12_3,24912,1,4,3,0,2
250_1_1,25001,1,1,36,0,0
250_1_2,25001,2,2,35,0,0
250_1_3,25001,2,4,15,0,2
250_1_4,25001,2,4,12,0,2
250_4_1,25004,1,1,64,0,0
250_4_2,25004,2,2,51,0,0
250_5_1,25005,1,1,49,0,1
250_5_2,25005,2,2,41,0,0
250_5_3,25005,2,4,15,0,2
250_5_4,25005,1,4,9,0,2
250_5_5,25005,2,7,75,0,0
250_6_2,25006,2,2,59,0,0
250_7_1,25007,1,1,68,0,0
250_7_2,25007,2,2,62,0,0
250_7_3,25007,1,4,38,0,2
250_7_4,25007,2,4,25,0,2
250_8_2,25008,2,2,36,0,0
250_8_3,25008,1,4,10,0,2
250_8_4,25008,2,4,7,0,2
250_9_2,25009,2,2,62,0,0
250_9_3,25009,1,4,33,0,2
250_9_4,25009,2,7,27,0,0
250_11_2,25011,2,2,65,0,0
251_1_1,25101,2,1,79,0,0
251_1_2,25101,1,4,53,0,1
251_1_3,25101,2,9,49,0,0
251_1_4,25101,1,5,24,0,2
251_1_5,25101,2,5,21,0,2
251_2_2,25102,2,2,25,0,0
251_2_3,25102,1,4,5,0,2
251_2_4,25102,2,4,1,0,2
251_3_1,25103,1,1,56,0,0
251_3_2,25103,2,2,51,0,0
251_4_1,25104,1,1,51,0,0
251_4_2,25104,2,2,39,0,0
251_4_3,25104,2,4,18,0,2
251_4_4,25104,2,4,12,0,2
251_5_1,25105,1,1,52,0,1
251_5_2,25105,2,2,43,0,0
251_5_3,25105,1,4,19,0,2
251_5_4,25105,1,4,15,0,2
251_5_5,25105,2,7,78,0,0
251_6_1,25106,1,1,51,0,0
251_6_2,25106,2,2,48,0,0
251_6_3,25106,1,4,24,0,2
251_6_4,25106,2,9,20,0,0
251_6_5,25106,1,4,17,0,2
251_6_6,25106,1,4,13,0,2
251_7_1,25107,1,1,52,0,0
251_7_2,25107,2,2,48,0,0
251_7_3,25107,1,4,22,0,2
251_7_4,25107,2,4,15,0,2
251_8_1,25108,1,1,51,0,0
251_8_2,25108,2,2,48,0,0
251_8_3,25108,1,4,22,0,2
251_8_4,25108,1,4,18,0,2
252_1_1,25201,1,1,45,0,1
252_1_2,25201,2,2,41,0,0
252_1_3,25201,2,4,18,0,2
252_1_4,25201,1,4,14,0,2
252_1_5,25201,2,7,76,0,0
252_2_1,25202,1,1,41,0,0
252_2_2,25202,2,2,35,0,0
252_2_3,25202,2,4,16,0,2
252_2_4,25202,2,4,5,0,2
252_3_1,25203,1,1,77,0,0
252_3_2,25203,2,2,74,0,0
252_4_1,25204,1,1,48,0,2
252_4_2,25204,2,2,40,0,0
252_4_3,25204,2,4,19,9,2
252_4_4,25204,2,4,15,0,2
252_4_5,25204,1,7,85,0,0
252_4_6,25204,2,7,75,0,0
252_5_1,25205,1,1,59,0,0
252_5_2,25205,2,2,54,0,0
252_5_3,25205,1,4,31,0,2
252_5_4,25205,2,9,29,0,0
252_5_5,25205,2,5,1,0,2
252_6_1,25206,1,1,83,0,0
252_6_2,25206,2,2,77,0,0
252_7_1,25207,1,1,65,0,0
252_7_2,25207,2,2,63,0,0
252_7_3,25207,1,4,26,0,2
252_9_1,25209,1,1,65,0,0
252_9_2,25209,2,2,58,0,0
252_9_3,25209,2,4,25,0,2
253_1_1,25301,1,1,72,0,0
253_1_2,25301,2,2,65,0,0
253_3_1,25303,2,1,73,6,0
253_5_1,25305,1,1,50,0,0
253_5_2,25305,2,2,53,0,0
253_5_3,25305,1,4,21,0,2
253_6_1,25306,1,1,82,0,0
253_7_1,25307,1,1,43,0,0
253_7_2,25307,2,2,42,0,0
253_7_3,25307,1,4,18,0,2
253_7_4,25307,1,4,8,0,2
253_9_1,25309,1,1,43,0,0
253_9_2,25309,2,2,40,0,0
253_9_3,25309,1,4,16,0,2
253_9_4,25309,2,4,13,0,2
253_9_5,25309,1,4,10,0,2
253_11_1,25311,1,1,58,0,0
254_1_1,25401,1,1,56,0,0
254_1_2,25401,2,2,52,0,0
254_2_1,25402,1,1,55,0,1
254_2_2,25402,2,2,50,0,0
254_2_3,25402,2,4,22,9,2
254_2_4,25402,2,7,78,0,0
254_3_1,25403,1,1,38,0,0
254_3_2,25403,2,2,35,0,0
254_3_3,25403,1,4,9,0,2
254_4_2,25404,2,2,43,0,0
254_4_3,25404,1,4,19,9,2
254_4_4,25404,1,4,16,0,2
254_4_5,25404,1,4,16,0,2
254_5_2,25405,2,2,52,0,0
254_5_3,25405,2,4,23,0,2
254_5_4,25405,2,4,21,0,2
254_7_1,25407,1,1,30,0,0
254_7_2,25407,2,2,26,0,0
254_7_3,25407,2,4,2,0,2
254_8_1,25408,2,1,47,0,0
254_8_2,25408,2,14,72,0,0
254_8_3,25408,2,14,85,0,0
254_8_4,25408,2,14,82,0,0
254_8_5,25408,2,14,76,0,0
254_9_1,25409,1,1,56,0,0
254_9_2,25409,2,2,56,0,0
254_9_3,25409,1,4,27,0,2
255_4_1,25504,1,1,51,0,0
255_4_2,25504,2,2,39,0,0
255_4_3,25504,1,4,17,0,2
255_4_4,25504,2,4,7,0,2
255_6_1,25506,1,1,66,0,0
255_6_2,25506,2,2,62,0,0
255_6_3,25506,1,4,35,0,2
255_6_4,25506,2,9,32,0,0
255_6_5,25506,2,5,7,0,2
255_6_6,25506,2,5,4,0,2
255_6_7,25506,1,4,32,0,2
255_6_8,25506,2,9,26,0,0
255_6_9,25506,2,5,0,0,2
255_7_1,25507,1,1,61,0,0
255_7_2,25507,2,2,53,0,0
255_7_3,25507,2,4,25,9,2
255_8_1,25508,1,1,35,0,0
255_8_2,25508,2,2,34,0,0
255_9_2,25509,2,2,41,0,0
255_9_3,25509,1,4,18,0,2
255_9_4,25509,1,4,7,0,2
255_10_1,25510,1,1,63,0,0
255_10_2,25510,2,2,55,0,0
255_10_3,25510,1,4,34,0,2
255_10_4,25510,2,9,30,0,0
255_10_5,25510,2,5,2,0,2
255_11_1,25511,1,1,58,0,0
255_11_2,25511,2,2,56,0,0
255_11_3,25511,1,4,23,0,2
255_12_2,25512,2,2,32,0,0
255_12_3,25512,1,4,9,0,2
255_12_4,25512,1,4,5,0,2
255_12_5,25512,2,7,78,0,0
256_1_2,25601,2,2,79,0,0
256_2_1,25602,1,1,66,0,0
256_2_2,25602,2,2,44,0,0
256_4_2,25604,1,4,45,0,1
256_5_1,25605,1,1,64,0,0
256_5_2,25605,2,2,62,0,0
256_5_3,25605,1,4,41,0,2
256_5_4,25605,2,9,36,0,0
256_5_5,25605,2,5,11,0,2
256_5_6,25605,2,5,6,0,2
256_5_7,25605,1,4,35,0,2
256_6_1,25606,1,1,60,0,0
256_6_2,25606,2,2,54,0,0
256_10_1,25610,1,1,46,0,0
256_10_2,25610,2,2,30,0,0
256_10_3,25610,2,4,5,0,2
256_11_1,25611,1,1,61,0,0
256_11_2,25611,2,2,55,0,0
256_11_3,25611,1,4,23,9,2
256_11_4,25611,2,4,16,0,2
256_12_1,25612,2,1,75,0,0
256_12_2,25612,2,4,49,0,1
257_1_2,25701,2,2,54,0,0
257_1_3,25701,1,4,21,0,2
257_2_2,25702,2,2,53,0,0
257_3_2,25703,2,2,56,0,0
257_3_3,25703,1,4,35,0,2
257_3_4,25703,2,9,31,0,0
257_3_5,25703,1,5,4,0,2
257_3_6,25703,2,5,4,0,2
257_4_1,25704,2,1,63,0,0
257_4_2,25704,2,4,38,0,1
257_7_1,25707,1,1,73,0,0
257_7_2,25707,2,2,61,0,0
257_7_3,25707,1,4,41,0,2
257_7_4,25707,2,9,32,0,0
257_7_5,25707,1,5,13,0,2
257_7_6,25707,1,5,9,0,2
257_9_1,25709,1,1,61,0,0
257_9_2,25709,2,2,60,0,0
257_9_3,25709,1,4,29,0,2
257_10_1,25710,1,1,56,0,0
257_10_2,25710,2,2,53,0,0
257_10_3,25710,1,4,29,0,2
257_10_4,25710,1,4,26,3,2
257_12_1,25712,1,1,49,0,0
257_12_2,25712,2,2,47,0,0
257_12_3,25712,2,4,22,0,2
257_12_4,25712,2,4,18,0,2
258_4_2,25804,2,2,40,0,0
258_4_3,25804,2,4,14,0,2
258_4_4,25804,2,4,12,0,2
258_5_1,25805,1,1,41,0,2
258_5_2,25805,2,2,41,0,0
258_5_3,25805,1,4,16,0,2
258_5_4,25805,1,7,71,0,0
258_5_5,25805,2,7,66,0,0
258_6_1,25806,1,1,47,0,0
258_6_2,25806,2,2,51,0,0
258_6_3,25806,1,4,18,0,2
258_8_1,25808,1,1,45,0,0
258_8_2,25808,2,2,47,0,0
258_8_3,25808,2,4,20,0,2
258_8_4,25808,2,4,13,0,2
258_8_5,25808,2,4,13,0,2
258_9_2,25809,2,2,56,0,0
258_11_2,25811,2,2,48,0,0
258_11_3,25811,2,4,20,0,2
258_11_4,25811,2,4,15,0,2
258_12_2,25812,1,4,54,0,1
258_12_3,25812,1,6,21,0,1
259_1_1,25901,1,1,46,0,0
259_1_2,25901,2,2,34,0,0
259_1_3,25901,1,4,3,0,2
259_1_4,25901,1,4,3,0,2
259_2_1,25902,1,1,57,0,0
259_2_2,25902,2,2,55,0,0
259_2_3,25902,2,4,16,0,2
259_2_4,25902,1,4,15,0,2
259_2_5,25902,1,4,32,0,2
259_2_6,25902,2,9,27,0,0
259_2_7,25902,1,4,29,0,2
259_2_8,25902,2,9,18,0,0
259_4_2,25904,2,2,37,0,0
259_4_3,25904,2,4,10,0,2
259_4_4,25904,2,4,2,0,2
259_5_1,25905,2,1,73,0,0
