psu_hh_idcode,subjectivePoverty_rating,q02,q03,q05,q09,q23,Q01,Q03,Q06,Q07,Q08,Q11,Q19
593_4_1,5.0,1,1,42,0,0,1,1,2.0,0.0,2.0,2.0,2.0
593_5_1,8.0,1,1,60,0,0,1,1,2.0,0.0,2.0,13.0,2.0
593_6_1,7.0,1,1,50,0,0,1,1,3.0,2.0,2.0,4.0,2.0
593_7_1,7.0,1,1,52,0,0,1,1,3.0,0.0,2.0,3.0,2.0
593_8_1,6.0,1,1,49,0,0,1,1,4.0,1.0,2.0,3.0,2.0
594_1_1,8.0,1,1,55,0,0,1,1,9.0,0.0,2.0,2.0,2.0
594_3_1,7.0,1,1,68,0,0,1,1,4.0,0.0,2.0,2.0,2.0
594_4_3,8.0,1,4,40,0,2,1,1,9.0,3.0,2.0,13.0,2.0
594_5_2,4.0,2,2,43,0,0,1,1,3.0,3.0,2.0,2.0,2.0
594_8_1,4.0,1,1,65,0,1,1,1,6.0,0.0,2.0,2.0,2.0
595_1_2,6.0,2,2,40,0,0,1,1,2.0,0.0,2.0,2.0,2.0
595_3_2,6.0,2,2,37,0,0,1,1,3.0,1.0,2.0,13.0,2.0
595_5_2,5.0,2,2,55,0,0,1,1,2.0,0.0,2.0,2.0,2.0
595_6_1,4.0,1,1,55,0,0,1,1,2.0,0.0,2.0,2.0,2.0
595_8_1,6.0,1,1,45,0,0,1,1,3.0,3.0,2.0,2.0,2.0
596_2_1,8.0,1,1,43,2,0,1,1,3.0,2.0,2.0,4.0,2.0
596_3_1,6.0,1,1,53,0,0,1,1,3.0,0.0,2.0,2.0,2.0
596_4_1,5.0,1,1,35,0,0,1,1,3.0,2.0,2.0,3.0,2.0
596_5_1,8.0,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
596_6_1,4.0,1,1,64,0,0,2,1,2.0,0.0,2.0,14.0,2.0
596_7_1,6.0,1,1,31,0,0,1,1,2.0,1.0,2.0,13.0,2.0
596_8_1,6.0,1,1,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
597_1_1,6.0,1,1,41,0,0,1,1,3.0,2.0,2.0,13.0,2.0
597_2_1,6.0,1,1,41,3,0,1,1,3.0,2.0,2.0,13.0,2.0
597_3_1,4.0,1,1,43,0,0,1,1,2.0,0.0,2.0,2.0,2.0
597_4_1,4.0,1,1,42,0,1,1,1,2.0,2.0,2.0,13.0,2.0
597_5_1,3.0,1,1,51,0,0,1,1,2.0,0.0,2.0,2.0,2.0
597_6_1,4.0,1,1,45,0,0,1,1,5.0,0.0,2.0,13.0,2.0
597_7_1,5.0,1,1,70,0,0,1,1,4.0,0.0,2.0,13.0,2.0
597_8_1,4.0,2,1,51,0,0,1,1,3.0,0.0,2.0,13.0,2.0
598_1_1,4.0,1,1,47,0,0,1,1,3.0,0.0,2.0,13.0,2.0
598_2_1,5.0,1,1,38,0,0,1,1,5.0,0.0,2.0,4.0,2.0
598_4_1,4.0,1,1,50,0,0,1,1,3.0,0.0,2.0,13.0,2.0
598_8_1,5.0,2,1,74,0,0,2,1,2.0,0.0,2.0,13.0,2.0
598_9_1,7.0,1,1,48,0,0,1,1,5.0,0.0,2.0,13.0,2.0
599_1_1,7.0,1,1,41,0,0,1,1,2.0,3.0,2.0,3.0,2.0
599_4_1,8.0,1,1,46,0,0,1,1,3.0,1.0,2.0,3.0,2.0
599_5_1,7.0,1,1,52,0,0,1,1,2.0,0.0,2.0,3.0,2.0
599_6_1,9.0,1,1,56,0,0,1,1,6.0,0.0,2.0,4.0,2.0
599_7_1,7.0,1,1,50,0,0,1,1,3.0,1.0,2.0,3.0,2.0
599_8_1,6.0,1,1,36,0,2,1,1,2.0,0.0,2.0,3.0,2.0
600_1_1,8.0,1,1,68,0,0,1,1,2.0,1.0,2.0,3.0,2.0
600_2_1,8.0,1,1,42,0,0,1,1,3.0,2.0,2.0,2.0,2.0
600_3_1,7.0,1,1,60,0,0,1,1,3.0,0.0,2.0,3.0,2.0
600_4_1,9.0,1,1,52,0,0,1,1,2.0,1.0,2.0,3.0,2.0
600_5_1,6.0,1,1,70,0,0,1,1,2.0,1.0,2.0,2.0,2.0
600_6_1,8.0,1,1,71,0,0,2,1,1.0,0.0,2.0,2.0,2.0
600_7_1,8.0,1,1,52,0,0,1,1,3.0,2.0,2.0,4.0,2.0
601_2_1,4.0,1,1,37,0,1,1,1,2.0,0.0,2.0,13.0,2.0
601_4_1,4.0,1,1,43,0,0,1,1,2.0,0.0,2.0,13.0,2.0
601_5_1,4.0,1,1,60,0,0,1,1,2.0,0.0,2.0,13.0,2.0
601_6_1,4.0,1,1,54,0,0,1,1,2.0,0.0,2.0,13.0,2.0
601_12_1,5.0,1,1,63,0,0,1,1,1.0,0.0,2.0,13.0,2.0
602_3_1,5.0,2,1,72,0,0,1,1,3.0,0.0,2.0,13.0,2.0
602_6_1,5.0,2,1,73,0,0,1,1,2.0,0.0,2.0,13.0,2.0
602_7_1,5.0,1,1,50,0,0,1,1,3.0,0.0,2.0,13.0,2.0
602_9_1,5.0,1,1,56,0,0,1,1,9.0,0.0,2.0,13.0,2.0
602_10_1,5.0,1,1,54,0,1,1,1,2.0,0.0,2.0,13.0,2.0
602_11_1,4.0,1,1,57,0,0,1,1,3.0,0.0,2.0,13.0,2.0
603_1_1,7.0,1,1,52,2,1,1,1,2.0,0.0,2.0,2.0,2.0
603_2_1,3.0,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
603_3_1,5.0,1,1,73,0,0,1,1,2.0,1.0,2.0,13.0,2.0
603_4_1,2.0,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
603_6_1,5.0,1,1,57,0,0,1,1,5.0,1.0,2.0,13.0,2.0
603_10_1,2.0,1,1,69,0,0,1,1,2.0,1.0,2.0,13.0,2.0
604_1_1,3.0,1,1,48,0,1,1,1,2.0,0.0,2.0,2.0,2.0
604_2_1,4.0,1,1,58,0,0,1,1,2.0,0.0,2.0,2.0,2.0
604_3_1,3.0,1,1,67,0,0,2,1,2.0,0.0,2.0,2.0,2.0
604_4_1,5.0,1,1,58,0,0,2,1,2.0,1.0,2.0,13.0,2.0
604_5_1,4.0,1,1,67,0,0,1,1,2.0,0.0,2.0,2.0,2.0
604_6_1,4.0,1,1,51,0,1,1,1,2.0,0.0,2.0,2.0,2.0
604_8_1,3.0,1,1,49,0,0,1,1,2.0,2.0,2.0,2.0,2.0
604_9_1,4.0,1,1,57,0,0,1,1,9.0,2.0,2.0,13.0,2.0
605_3_1,4.0,1,1,46,0,0,1,1,2.0,0.0,2.0,2.0,2.0
605_4_1,4.0,1,1,77,0,0,1,1,1.0,0.0,2.0,2.0,2.0
605_5_1,3.0,1,1,48,0,0,1,1,1.0,0.0,2.0,2.0,2.0
605_6_1,3.0,1,1,68,0,0,1,1,2.0,0.0,2.0,2.0,2.0
605_8_1,5.0,2,1,71,0,0,2,1,1.0,0.0,2.0,2.0,2.0
605_9_1,3.0,1,1,53,0,0,1,1,2.0,0.0,2.0,2.0,2.0
605_10_1,4.0,1,1,44,0,0,1,1,3.0,1.0,2.0,2.0,2.0
606_1_1,3.0,2,1,68,0,0,2,1,1.0,0.0,2.0,2.0,2.0
606_2_1,3.0,1,1,52,0,0,1,1,2.0,0.0,2.0,2.0,2.0
606_3_1,5.0,1,1,53,0,1,1,1,9.0,0.0,2.0,2.0,2.0
606_4_1,2.0,1,1,73,0,0,2,1,1.0,0.0,2.0,2.0,2.0
606_6_1,3.0,1,1,58,0,0,1,1,3.0,1.0,2.0,2.0,2.0
606_7_1,4.0,1,1,55,0,0,1,1,9.0,1.0,2.0,13.0,2.0
607_1_1,4.0,1,1,79,0,0,1,1,1.0,0.0,2.0,2.0,2.0
607_2_1,3.0,1,1,44,0,0,1,1,2.0,1.0,2.0,2.0,2.0
607_5_1,4.0,1,1,52,0,0,1,1,2.0,0.0,2.0,2.0,2.0
607_6_1,4.0,1,1,42,0,0,1,1,2.0,0.0,2.0,2.0,2.0
607_7_1,1.0,2,1,80,0,0,3,2,-1.0,-1.0,-1.0,-1.0,-1.0
607_8_1,3.0,1,1,38,0,0,1,1,2.0,0.0,2.0,2.0,2.0
608_1_1,3.0,1,1,48,0,0,1,1,2.0,0.0,2.0,2.0,2.0
608_3_1,5.0,1,1,45,0,0,1,1,2.0,0.0,2.0,2.0,2.0
608_4_1,3.0,1,1,62,0,0,1,1,2.0,0.0,2.0,2.0,2.0
608_9_1,2.0,1,1,29,0,0,1,1,2.0,1.0,2.0,2.0,2.0
608_10_1,2.0,1,1,62,0,0,2,1,1.0,0.0,2.0,2.0,2.0
608_11_1,3.0,1,1,54,0,0,1,1,2.0,2.0,2.0,2.0,2.0
609_1_1,5.0,1,1,64,0,0,1,1,2.0,1.0,2.0,13.0,2.0
609_3_1,5.0,1,1,55,0,0,1,1,2.0,1.0,2.0,13.0,2.0
609_4_1,4.0,1,1,71,0,0,1,1,1.0,1.0,2.0,13.0,2.0
609_6_1,4.0,1,1,55,0,0,1,1,2.0,1.0,2.0,13.0,2.0
609_8_1,4.0,1,1,29,0,0,1,1,3.0,1.0,2.0,13.0,2.0
609_9_1,4.0,2,1,46,0,0,1,1,3.0,1.0,2.0,13.0,2.0
609_12_1,5.0,2,1,46,0,0,1,1,3.0,1.0,2.0,13.0,2.0
610_1_1,3.0,1,1,42,0,0,1,1,1.0,1.0,2.0,13.0,2.0
610_2_1,2.0,1,1,74,0,0,1,1,1.0,1.0,2.0,13.0,2.0
610_5_1,2.0,1,1,41,0,0,1,1,2.0,1.0,2.0,13.0,2.0
610_7_1,3.0,2,1,78,0,0,1,1,1.0,1.0,2.0,13.0,2.0
610_8_1,3.0,1,1,40,0,0,1,1,5.0,1.0,2.0,13.0,2.0
610_9_2,2.0,2,2,43,0,0,1,1,2.0,1.0,2.0,13.0,2.0
611_1_1,4.0,1,1,73,1,0,1,1,1.0,1.0,2.0,13.0,2.0
611_2_1,4.0,1,1,51,0,0,1,1,2.0,1.0,2.0,13.0,2.0
611_3_1,1.0,1,1,30,0,0,1,1,3.0,1.0,2.0,13.0,2.0
611_5_1,2.0,1,1,58,0,0,1,1,3.0,1.0,2.0,13.0,2.0
611_6_1,3.0,1,1,50,0,0,1,1,3.0,1.0,2.0,13.0,2.0
611_7_1,4.0,1,1,45,0,1,1,1,2.0,1.0,2.0,13.0,2.0
611_8_1,2.0,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
611_9_1,2.0,1,1,38,0,0,1,1,3.0,1.0,2.0,13.0,2.0
612_2_1,1.0,1,1,46,0,1,1,1,3.0,1.0,2.0,13.0,2.0
612_3_1,1.0,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
612_4_1,2.0,1,1,43,0,0,1,1,2.0,1.0,2.0,13.0,2.0
612_8_1,3.0,2,1,62,0,0,1,1,2.0,1.0,2.0,13.0,2.0
613_2_1,2.0,1,1,73,0,0,1,1,2.0,0.0,2.0,13.0,2.0
613_3_1,5.0,1,1,72,0,0,1,1,9.0,0.0,2.0,13.0,2.0
613_4_1,3.0,1,1,24,0,0,1,1,3.0,3.0,1.0,-1.0,-1.0
613_5_1,4.0,1,1,71,0,0,1,1,2.0,0.0,2.0,13.0,2.0
613_6_1,5.0,1,1,48,0,0,1,1,3.0,3.0,2.0,13.0,2.0
613_7_3,3.0,1,4,29,0,2,1,1,2.0,3.0,2.0,13.0,2.0
613_8_1,2.0,1,1,51,0,0,1,1,2.0,3.0,2.0,13.0,2.0
614_1_2,2.0,2,2,53,0,0,1,1,2.0,0.0,2.0,13.0,2.0
614_2_1,5.0,1,1,56,0,0,1,1,3.0,0.0,2.0,13.0,2.0
614_3_2,3.0,2,2,38,0,0,1,1,2.0,3.0,2.0,13.0,2.0
614_4_2,3.0,2,1,37,0,0,1,1,3.0,3.0,2.0,13.0,2.0
614_5_1,5.0,1,1,52,0,0,1,1,9.0,3.0,2.0,13.0,2.0
614_8_1,2.0,1,1,52,0,0,1,1,2.0,0.0,2.0,13.0,2.0
614_9_1,5.0,2,1,44,0,0,1,1,3.0,3.0,1.0,-1.0,-1.0
615_2_1,5.0,1,1,78,0,0,3,1,1.0,1.0,2.0,13.0,2.0
615_3_1,6.0,1,1,51,3,1,1,1,2.0,1.0,2.0,13.0,2.0
615_4_1,6.0,1,1,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
615_5_1,6.0,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
615_7_1,6.0,1,1,70,0,0,1,1,1.0,1.0,2.0,13.0,2.0
615_8_2,6.0,1,4,34,0,1,1,1,2.0,0.0,2.0,2.0,2.0
616_1_2,6.0,2,2,46,0,0,1,1,2.0,1.0,2.0,13.0,2.0
616_2_1,6.0,1,1,61,0,0,1,1,3.0,0.0,2.0,13.0,2.0
616_3_1,7.0,1,1,58,0,0,1,1,9.0,1.0,2.0,13.0,2.0
616_4_1,5.0,1,1,41,0,0,1,1,2.0,0.0,2.0,4.0,2.0
616_5_3,1.0,1,4,47,0,2,1,1,1.0,1.0,2.0,13.0,2.0
616_7_1,5.0,1,1,40,0,0,1,1,2.0,0.0,2.0,13.0,2.0
617_1_2,6.0,2,2,42,0,0,1,1,2.0,0.0,2.0,2.0,2.0
617_2_1,4.0,1,1,79,0,0,2,1,2.0,0.0,2.0,2.0,2.0
617_4_1,5.0,1,1,66,0,0,1,1,2.0,0.0,2.0,13.0,2.0
617_6_1,3.0,1,1,47,0,0,2,1,2.0,1.0,2.0,13.0,2.0
617_9_1,5.0,1,1,41,0,0,1,1,3.0,0.0,2.0,2.0,2.0
618_2_1,2.0,2,1,24,0,0,2,1,1.0,1.0,2.0,13.0,2.0
618_3_1,4.0,1,1,49,0,0,2,1,1.0,0.0,2.0,13.0,2.0
618_5_1,3.0,2,1,31,0,1,2,1,1.0,0.0,2.0,2.0,2.0
618_6_1,3.0,1,1,26,0,1,2,1,1.0,1.0,2.0,13.0,2.0
618_8_1,3.0,1,1,49,0,0,2,1,1.0,1.0,2.0,13.0,2.0
618_9_1,3.0,1,1,26,0,1,1,1,1.0,1.0,2.0,13.0,2.0
618_10_1,3.0,1,1,38,0,0,2,1,1.0,1.0,2.0,13.0,2.0
618_12_1,3.0,1,1,49,0,0,1,1,2.0,0.0,2.0,13.0,2.0
619_2_1,6.0,1,1,69,0,0,1,1,2.0,0.0,2.0,13.0,2.0
619_5_1,7.0,1,1,52,0,0,1,1,2.0,0.0,2.0,13.0,2.0
619_7_1,5.0,1,1,67,0,0,1,1,1.0,0.0,2.0,13.0,2.0
619_11_1,7.0,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
619_12_1,5.0,1,1,58,0,0,1,1,2.0,0.0,2.0,13.0,2.0
620_1_1,5.0,1,1,56,0,0,1,1,3.0,0.0,2.0,13.0,2.0
620_2_1,5.0,2,1,64,0,0,1,1,2.0,0.0,2.0,13.0,2.0
620_3_1,6.0,1,1,50,0,0,1,1,3.0,1.0,2.0,13.0,2.0
620_4_1,6.0,1,1,51,0,1,1,1,3.0,0.0,2.0,13.0,2.0
620_5_1,5.0,1,1,61,0,0,1,1,3.0,0.0,2.0,13.0,2.0
620_6_1,6.0,1,1,79,0,0,1,1,2.0,0.0,2.0,13.0,2.0
620_7_1,6.0,1,1,42,0,0,1,1,3.0,0.0,2.0,13.0,2.0
620_8_1,6.0,1,1,69,0,0,1,1,2.0,0.0,2.0,13.0,2.0
621_1_1,5.0,1,1,45,0,0,1,1,2.0,0.0,2.0,13.0,2.0
621_2_1,6.0,1,1,39,0,1,1,1,4.0,0.0,2.0,13.0,2.0
621_3_1,6.0,1,1,54,0,0,1,1,9.0,0.0,2.0,13.0,2.0
621_5_1,5.0,1,1,29,0,0,1,1,2.0,1.0,2.0,13.0,2.0
621_6_1,6.0,1,1,55,0,0,1,1,2.0,0.0,2.0,13.0,2.0
621_8_1,4.0,1,1,36,0,0,1,1,2.0,0.0,2.0,13.0,2.0
621_9_1,5.0,1,1,32,0,0,1,1,2.0,1.0,2.0,13.0,2.0
622_1_1,7.0,1,1,53,0,0,1,1,2.0,0.0,2.0,13.0,2.0
622_3_1,7.0,1,1,37,0,0,1,1,9.0,2.0,2.0,13.0,2.0
622_4_1,7.0,1,1,69,0,0,1,1,2.0,0.0,2.0,13.0,2.0
622_9_1,6.0,1,1,53,0,0,1,1,2.0,0.0,2.0,13.0,2.0
623_1_1,7.0,1,1,52,0,0,1,1,3.0,1.0,2.0,13.0,2.0
623_3_1,6.0,1,1,51,0,0,1,1,3.0,1.0,2.0,13.0,2.0
623_6_1,7.0,1,1,66,0,0,1,1,2.0,0.0,2.0,13.0,2.0
623_8_1,6.0,1,1,82,0,0,2,1,0.0,1.0,2.0,13.0,2.0
623_9_1,7.0,1,1,65,0,0,1,1,2.0,0.0,2.0,13.0,2.0
624_1_1,5.0,1,1,35,0,0,1,1,2.0,0.0,2.0,2.0,2.0
624_2_2,5.0,2,2,46,0,0,1,1,2.0,0.0,2.0,2.0,2.0
624_3_1,6.0,1,1,47,0,0,1,1,2.0,0.0,2.0,13.0,2.0
624_4_2,5.0,2,2,37,0,0,1,1,2.0,0.0,2.0,2.0,2.0
624_5_2,4.0,2,2,63,0,0,1,1,2.0,0.0,2.0,2.0,2.0
624_6_1,5.0,1,1,57,0,0,1,1,2.0,0.0,2.0,3.0,2.0
624_7_1,5.0,1,1,44,0,0,1,1,2.0,0.0,2.0,3.0,2.0
624_8_1,6.0,1,1,50,0,1,1,1,2.0,0.0,2.0,3.0,2.0
625_1_1,1.0,1,1,45,0,0,3,2,-1.0,-1.0,-1.0,-1.0,-1.0
625_3_1,2.0,1,1,49,0,0,3,1,2.0,1.0,2.0,13.0,2.0
625_4_1,3.0,1,1,51,0,0,1,1,3.0,1.0,2.0,13.0,2.0
625_6_3,1.0,2,7,61,0,0,2,1,3.0,1.0,2.0,13.0,2.0
625_7_2,1.0,2,4,28,0,1,1,1,2.0,1.0,2.0,13.0,2.0
625_8_1,1.0,1,1,23,0,0,1,1,2.0,0.0,2.0,2.0,2.0
625_9_1,4.0,2,1,62,0,0,2,1,1.0,1.0,2.0,13.0,2.0
626_1_2,5.0,2,2,36,0,0,1,1,3.0,0.0,2.0,2.0,2.0
626_3_2,4.0,2,2,40,0,0,1,1,3.0,0.0,2.0,2.0,2.0
626_4_2,3.0,2,2,77,0,0,2,1,0.0,0.0,2.0,2.0,2.0
626_5_2,6.0,2,2,31,0,0,1,1,3.0,0.0,2.0,12.0,2.0
626_6_2,5.0,2,2,60,0,0,1,1,2.0,0.0,2.0,13.0,2.0
626_7_4,4.0,2,9,32,0,0,1,1,9.0,1.0,2.0,1.0,2.0
626_11_2,2.0,2,2,36,0,0,1,1,2.0,0.0,2.0,2.0,2.0
627_1_1,1.0,1,1,32,0,0,1,1,2.0,0.0,2.0,1.0,2.0
627_2_1,6.0,1,1,45,0,0,1,1,2.0,0.0,2.0,2.0,2.0
627_3_5,3.0,2,7,71,0,0,2,1,1.0,0.0,2.0,2.0,2.0
627_4_2,3.0,2,2,57,0,0,1,1,1.0,0.0,2.0,2.0,2.0
627_5_1,1.0,1,1,56,0,0,1,1,2.0,0.0,2.0,1.0,2.0
627_8_2,3.0,2,2,54,0,0,1,1,2.0,0.0,2.0,13.0,2.0
627_10_1,1.0,1,1,61,0,0,1,1,2.0,0.0,2.0,2.0,2.0
627_12_1,2.0,1,1,70,0,0,1,1,1.0,0.0,2.0,2.0,2.0
628_1_1,5.0,1,1,60,0,0,1,1,9.0,0.0,2.0,13.0,2.0
628_4_2,5.0,2,2,58,0,0,1,1,9.0,0.0,2.0,13.0,2.0
628_5_1,6.0,2,1,63,0,0,1,1,2.0,0.0,2.0,2.0,2.0
628_6_1,1.0,1,1,32,0,0,1,1,2.0,0.0,2.0,2.0,2.0
628_8_1,6.0,1,1,31,0,1,1,1,9.0,0.0,2.0,13.0,2.0
628_9_1,6.0,1,1,60,0,0,1,1,6.0,0.0,2.0,2.0,2.0
628_10_3,7.0,2,7,49,0,0,1,1,3.0,0.0,2.0,2.0,2.0
629_2_2,1.0,2,2,28,0,0,1,1,9.0,0.0,2.0,13.0,2.0
629_4_2,5.0,2,2,35,0,0,1,1,2.0,0.0,2.0,4.0,2.0
629_5_2,4.0,2,2,58,0,0,1,1,3.0,0.0,2.0,2.0,2.0
629_6_1,3.0,1,1,63,0,0,1,1,3.0,0.0,2.0,2.0,2.0
629_7_1,3.0,1,1,65,0,0,1,1,2.0,0.0,2.0,2.0,2.0
629_9_1,3.0,1,1,58,0,0,1,1,3.0,0.0,2.0,2.0,2.0
630_5_2,3.0,2,2,27,0,0,1,1,3.0,1.0,2.0,13.0,2.0
630_8_1,2.0,1,1,51,0,0,1,1,2.0,1.0,2.0,13.0,2.0
630_9_1,3.0,2,1,80,0,0,2,1,0.0,1.0,2.0,13.0,2.0
630_10_2,3.0,2,2,47,0,0,1,1,3.0,2.0,2.0,2.0,2.0
630_12_1,4.0,1,1,90,0,0,2,1,0.0,1.0,2.0,13.0,2.0
631_1_1,3.0,1,1,41,0,0,1,1,3.0,1.0,2.0,13.0,2.0
631_3_1,2.0,2,1,48,0,0,1,1,1.0,1.0,2.0,13.0,2.0
631_4_2,3.0,2,2,24,0,0,1,1,3.0,1.0,2.0,13.0,2.0
631_6_1,3.0,1,1,77,0,0,1,1,1.0,1.0,2.0,13.0,2.0
631_7_2,2.0,2,2,26,0,0,1,1,3.0,1.0,2.0,13.0,2.0
631_8_1,3.0,1,1,58,0,0,1,1,3.0,1.0,2.0,13.0,2.0
631_10_2,3.0,2,2,43,0,0,1,1,3.0,1.0,2.0,13.0,2.0
632_2_2,5.0,2,2,55,0,0,1,1,9.0,2.0,2.0,2.0,2.0
632_4_1,3.0,2,1,72,0,0,1,1,1.0,1.0,2.0,13.0,2.0
632_6_2,2.0,2,2,52,0,0,1,1,6.0,0.0,2.0,2.0,2.0
632_7_1,4.0,1,1,51,0,0,1,1,5.0,1.0,2.0,2.0,2.0
632_11_1,3.0,1,1,32,0,0,1,1,3.0,3.0,2.0,2.0,2.0
633_2_2,2.0,2,2,62,0,0,1,1,1.0,1.0,2.0,13.0,2.0
633_5_1,3.0,2,1,74,0,0,1,1,2.0,1.0,2.0,13.0,2.0
633_7_1,3.0,1,1,71,0,0,1,1,3.0,0.0,2.0,2.0,2.0
633_8_2,2.0,2,2,49,0,0,1,1,2.0,1.0,2.0,13.0,2.0
633_9_2,2.0,2,2,53,0,0,1,1,9.0,1.0,2.0,13.0,2.0
633_10_1,2.0,1,1,42,0,0,1,1,3.0,1.0,2.0,13.0,2.0
633_11_1,5.0,1,1,65,0,0,1,1,3.0,1.0,2.0,13.0,2.0
634_2_1,6.0,1,1,57,0,0,1,1,9.0,1.0,2.0,13.0,2.0
634_3_1,4.0,2,1,68,0,0,1,1,3.0,0.0,2.0,4.0,2.0
634_5_2,3.0,2,2,48,0,0,1,1,3.0,0.0,2.0,4.0,2.0
634_6_4,5.0,1,4,21,0,2,1,1,3.0,2.0,1.0,-1.0,-1.0
634_9_1,4.0,1,1,70,0,0,1,1,3.0,0.0,2.0,4.0,2.0
634_10_2,4.0,2,2,41,0,0,1,1,2.0,1.0,2.0,4.0,2.0
635_1_2,3.0,2,2,58,0,0,1,1,3.0,1.0,2.0,2.0,2.0
635_2_1,4.0,1,1,46,0,0,1,1,9.0,2.0,2.0,13.0,2.0
635_6_2,5.0,2,2,46,0,0,1,1,7.0,2.0,2.0,2.0,2.0
635_7_1,2.0,2,1,81,0,0,1,1,2.0,0.0,2.0,13.0,2.0
635_9_1,5.0,1,1,64,0,0,1,1,9.0,2.0,2.0,2.0,2.0
635_10_1,2.0,1,1,58,0,0,1,1,2.0,0.0,2.0,2.0,2.0
635_12_1,3.0,1,1,57,0,0,1,1,6.0,2.0,2.0,13.0,2.0
636_1_2,6.0,2,2,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
636_2_2,7.0,2,2,38,0,0,1,1,3.0,1.0,2.0,13.0,2.0
636_3_2,7.0,2,2,40,0,0,1,1,9.0,1.0,2.0,13.0,2.0
636_4_1,7.0,2,1,45,0,0,2,1,2.0,1.0,2.0,13.0,2.0
636_6_1,5.0,2,1,72,0,0,2,1,2.0,1.0,2.0,13.0,2.0
636_7_2,8.0,2,2,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
636_8_3,8.0,2,4,40,0,1,1,1,3.0,1.0,2.0,13.0,2.0
637_1_2,6.0,2,2,36,0,0,1,1,3.0,1.0,2.0,13.0,2.0
637_3_1,7.0,2,1,65,0,0,1,1,2.0,1.0,2.0,13.0,2.0
637_4_2,6.0,2,2,50,0,0,1,1,3.0,1.0,2.0,13.0,2.0
637_5_2,7.0,2,2,38,0,0,1,1,3.0,1.0,2.0,13.0,2.0
637_8_2,7.0,2,2,30,0,0,1,1,2.0,1.0,2.0,13.0,2.0
637_9_2,6.0,2,2,42,0,0,1,1,2.0,1.0,2.0,13.0,2.0
638_1_2,6.0,2,2,73,0,0,1,1,3.0,1.0,2.0,13.0,2.0
638_2_2,9.0,2,2,30,0,0,1,1,9.0,1.0,2.0,13.0,2.0
638_3_5,8.0,2,7,64,0,0,2,1,1.0,1.0,2.0,13.0,2.0
638_7_1,7.0,1,1,39,0,0,1,1,2.0,1.0,2.0,13.0,2.0
638_8_1,8.0,1,1,62,0,0,1,1,9.0,1.0,2.0,13.0,2.0
638_9_1,5.0,2,1,75,0,0,2,2,-1.0,-1.0,-1.0,-1.0,-1.0
638_10_1,6.0,2,1,40,0,0,1,1,2.0,1.0,2.0,13.0,2.0
639_1_1,5.0,1,1,59,0,0,3,2,-1.0,-1.0,-1.0,-1.0,-1.0
639_3_2,8.0,2,2,46,0,0,1,1,3.0,1.0,2.0,13.0,2.0
639_4_2,5.0,2,2,63,0,0,1,2,-1.0,-1.0,-1.0,-1.0,-1.0
639_5_1,5.0,2,1,39,0,0,1,1,2.0,1.0,2.0,13.0,2.0
639_6_4,7.0,2,9,30,0,0,1,1,2.0,1.0,2.0,13.0,2.0
639_8_2,8.0,2,2,41,0,0,1,1,1.0,1.0,2.0,13.0,2.0
640_1_2,8.0,2,2,49,0,0,1,1,2.0,1.0,2.0,13.0,2.0
640_5_1,9.0,1,1,87,0,0,1,2,-1.0,-1.0,-1.0,-1.0,-1.0
640_6_1,7.0,2,1,68,0,0,1,1,2.0,1.0,2.0,13.0,2.0
640_7_2,4.0,2,2,55,0,0,1,1,2.0,1.0,2.0,13.0,2.0
640_10_1,6.0,1,1,77,0,0,1,1,3.0,1.0,2.0,13.0,2.0
640_11_2,8.0,2,2,53,0,0,1,1,3.0,1.0,2.0,13.0,2.0
641_2_2,9.0,2,2,40,0,0,1,1,9.0,0.0,2.0,13.0,2.0
641_3_1,5.0,2,1,74,0,0,2,1,3.0,0.0,2.0,13.0,2.0
641_4_1,4.0,2,1,47,0,0,1,1,2.0,0.0,2.0,13.0,2.0
641_7_1,7.0,1,1,48,0,0,1,1,3.0,0.0,2.0,13.0,2.0
641_9_1,10.0,1,1,40,0,0,1,1,9.0,0.0,2.0,13.0,2.0
642_2_1,4.0,1,1,59,0,0,1,1,2.0,0.0,2.0,13.0,2.0
642_4_2,6.0,2,2,65,0,0,1,1,3.0,0.0,2.0,13.0,2.0
642_5_2,7.0,2,2,59,0,0,1,1,9.0,0.0,2.0,13.0,2.0
642_7_1,4.0,2,1,52,0,0,1,1,2.0,0.0,2.0,13.0,2.0
642_8_2,7.0,1,4,62,0,1,1,1,3.0,0.0,2.0,13.0,2.0
643_1_1,7.0,2,1,76,0,0,1,1,2.0,0.0,2.0,13.0,2.0
643_2_1,8.0,1,1,75,0,0,1,1,2.0,0.0,2.0,13.0,2.0
